company all Details
"['U72200TN2022PTC153469', ""SCORPIO'S TECHNOLOGIES INDIA PRIVATE LIMITED"", 'Chennai', 'Active']"
"['U72900TN2022PTC154028', 'FAB16 MAC TECH PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72100TN1962PTC094955', 'SAK INDUSTRIES PRIVATE LTD', 'Chennai', 'Active']"
"['U72900TN2022PTC155726', 'PADIZON FINTECH PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2021PTC143378', 'DRCRATES WELLNESS TECHNOLOGIES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72300TN1998PTC040284', 'PRECIOUS MICROTECH PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2014PTC094847', 'PLANET EXPRESS INNOVATIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2019PTC128081', 'SKOLE SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2019PTC130343', 'TEKISTIC IT SERVICES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2007PTC062057', 'DGSP INFOTECH PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2021PTC146972', 'TEKRELLA PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72100TN2007PTC064203', 'GRR INFOTECH PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72100TN2011PTC080949', 'KRIYATEC IT SYSTEMS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2007PTC062124', 'CA INFOTECH INDIA PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2022PTC156152', 'HUSTLE MINDS SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2019PTC130480', 'TVMINFOTECH PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN1999PTC050637', 'NINESTARS INFORMATION TECHNOLOGIES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2021PTC147400', 'BALBHAS IT SYSNOMICS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72501TN2019PTC132021', 'GENERATIONS TECHNOLOGY SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2022PTC154078', 'QUINTUPLE SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2021PTC147407', 'DLS MAXWELL PRIVATE LIMITED', 'Chennai', 'Active']"
